   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.001    0.000 __init__.py:1025(getLogger)
     11/5    0.000    0.000    0.001    0.000 pyparsing.py:2293(leaveWhitespace)
        1    0.000    0.000    0.001    0.001 polynomial.py:55(<module>)
    84/59    0.000    0.000    0.001    0.000 pyparsing.py:2429(__str__)
        2    0.000    0.000    0.001    0.000 pyparsing.py:2809(parseImpl)
    86/78    0.000    0.000    0.001    0.000 pyparsing.py:2550(__str__)
       51    0.000    0.000    0.001    0.000 pyparsing.py:1238(__add__)
        1    0.001    0.001    0.001    0.001 exceptions.py:1(<module>)
   118/75    0.000    0.000    0.001    0.000 {issubclass}
        1    0.001    0.001    0.001    0.001 prng.py:1(<module>)
        1    0.000    0.000    0.001    0.001 collections.py:11(<module>)
        1    0.001    0.001    0.001    0.001 {posix.popen}
      616    0.000    0.000    0.001    0.000 posixpath.py:61(join)
       40    0.000    0.000    0.001    0.000 core.py:108(get_object_signature)
      246    0.001    0.000    0.001    0.000 {posix.stat}
       16    0.000    0.000    0.001    0.000 abc.py:105(register)
       66    0.001    0.000    0.001    0.000 {imp.find_module}
        1    0.000    0.000    0.001    0.001 __init__.py:2194(EntryPoint)
     1204    0.001    0.000    0.001    0.000 monitor.py:223(_after_step)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
       17    0.000    0.000    0.001    0.000 pyparsing.py:846(setResultsName)
        1    0.000    0.000    0.001    0.001 __init__.py:24(<module>)
       51    0.000    0.000    0.001    0.000 pyparsing.py:2385(__init__)
       69    0.000    0.000    0.001    0.000 __init__.py:1468(has_metadata)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
       23    0.000    0.000    0.001    0.000 core.py:6343(__init__)
        1    0.000    0.000    0.001    0.001 auth.py:8(<module>)
       77    0.000    0.000    0.001    0.000 posixpath.py:358(abspath)
      271    0.000    0.000    0.000    0.000 sre_parse.py:236(_class_escape)
      103    0.000    0.000    0.000    0.000 {map}
       65    0.000    0.000    0.000    0.000 __init__.py:2588(insert_on)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 re.py:143(search)
       23    0.000    0.000    0.000    0.000 core.py:6348(getdoc)
       40    0.000    0.000    0.000    0.000 pyparsing.py:1349(__or__)
      400    0.000    0.000    0.000    0.000 __init__.py:2416(key)
      283    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
       49    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      107    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
      177    0.000    0.000    0.000    0.000 registration.py:109(register)
      233    0.000    0.000    0.000    0.000 pyparsing.py:805(__init__)
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 spawn.py:7(<module>)
  174/162    0.000    0.000    0.000    0.000 pyparsing.py:2434(<genexpr>)
      409    0.000    0.000    0.000    0.000 pyparsing.py:2555(<genexpr>)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
        1    0.000    0.000    0.000    0.000 api.py:11(<module>)
       22    0.000    0.000    0.000    0.000 __init__.py:1928(find_distributions)
      670    0.000    0.000    0.000    0.000 __init__.py:2143(_normalize_cached)
        1    0.000    0.000    0.000    0.000 urllib2.py:852(AbstractBasicAuthHandler)
      222    0.000    0.000    0.000    0.000 {all}
      485    0.000    0.000    0.000    0.000 urllib.py:1217(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1157(info)
       40    0.000    0.000    0.000    0.000 pyparsing.py:2514(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
       77    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
     3542    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      386    0.000    0.000    0.000    0.000 {posix.lstat}
        1    0.000    0.000    0.000    0.000 __init__.py:1267(_log)
       90    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
       22    0.000    0.000    0.000    0.000 __init__.py:2870(_find_adapter)
      182    0.000    0.000    0.000    0.000 registration.py:26(add_task)
        2    0.000    0.000    0.000    0.000 __init__.py:2071(declare_namespace)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.000    0.000 version.py:228(LooseVersion)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error.py:1(<module>)
     1151    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
      119    0.000    0.000    0.000    0.000 __init__.py:2166(yield_lines)
       56    0.000    0.000    0.000    0.000 pyparsing.py:1605(__init__)
        1    0.000    0.000    0.000    0.000 ssl_.py:1(<module>)
     1305    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 numeric.py:1015(outer)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1413(__call__)
      554    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      951    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
        5    0.000    0.000    0.000    0.000 ssl.py:114(_import_symbols)
        1    0.000    0.000    0.000    0.000 mimetools.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1906(__init__)
      141    0.000    0.000    0.000    0.000 posixpath.py:97(splitext)
       16    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     2181    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       10    0.000    0.000    0.000    0.000 __init__.py:2139(normalize_path)
       94    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
       22    0.000    0.000    0.000    0.000 __init__.py:2862(_get_mro)
      177    0.000    0.000    0.000    0.000 registration.py:37(__init__)
     2537    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 pyparsing.py:3268(oneOf)
        1    0.000    0.000    0.000    0.000 sessions.py:9(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1634(MemoizedZipManifests)
      648    0.000    0.000    0.000    0.000 version.py:207(<genexpr>)
       50    0.000    0.000    0.000    0.000 pyparsing.py:2652(__init__)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:7(<module>)
        1    0.000    0.000    0.000    0.000 status_codes.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2358(setResultsName)
        3    0.000    0.000    0.000    0.000 __init__.py:71(search_function)
       69    0.000    0.000    0.000    0.000 __init__.py:1568(_has)
      117    0.000    0.000    0.000    0.000 re.py:138(match)
        1    0.000    0.000    0.000    0.000 cookielib.py:1217(CookieJar)
       35    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
        1    0.000    0.000    0.000    0.000 zipfile.py:501(ZipExtFile)
     1247    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      767    0.000    0.000    0.000    0.000 {setattr}
        1    0.000    0.000    0.000    0.000 http_client.py:23(__init__)
        1    0.000    0.000    0.000    0.000 sessions.py:292(__init__)
      263    0.000    0.000    0.000    0.000 __init__.py:2543(__getattr__)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
